Time	Logic	1	UP					Pulse	Duration (ms)	Timer 1 countes(dec)	Timer 1 countes(hex)																																			
								time0[20]	138			time0[20]	138			time0[20]	131			time0[20]	139			time0[20]	148			time0[20]	148			time0[20]	131			time0[20]	130			time0[20]	132			time0[20]	138	
								time0[21]	139			time0[21]	138			time0[21]	136			time0[21]	153			time0[21]	142			time0[21]	146			time0[21]	132			time0[21]	124			time0[21]	137			time0[21]	139	
								time0[22]	138			time0[22]	146			time0[22]	137			time0[22]	146			time0[22]	148			time0[22]	147			time0[22]	131			time0[22]	137			time0[22]	132			time0[22]	139	
								time0[23]	138			time0[23]	138			time0[23]	130			time0[23]	140			time0[23]	141			time0[23]	148			time0[23]	131			time0[23]	125			time0[23]	144			time0[23]	139	
								time0[24]	137			time0[24]	145			time0[24]	131			time0[24]	152			time0[24]	134			time0[24]	147			time0[24]	131			time0[24]	130			time0[24]	138			time0[24]	145	
								time0[25]	138			time0[25]	138			time0[25]	130			time0[25]	145			time0[25]	140			time0[25]	147			time0[25]	138			time0[25]	132			time0[25]	132			time0[25]	139	
								time0[26]	138			time0[26]	145			time0[26]	138			time0[26]	146			time0[26]	141			time0[26]	148			time0[26]	131			time0[26]	124			time0[26]	137			time0[26]	139	
								time0[27]	138			time0[27]	138			time0[27]	131			time0[27]	146			time0[27]	141			time0[27]	154			time0[27]	131			time0[27]	124			time0[27]	132			time0[27]	138	
								time0[28]	138			time0[28]	146			time0[28]	131			time0[28]	146			time0[28]	134			time0[28]	147			time0[28]	131			time0[28]	118			time0[28]	131			time0[28]	138	
								time0[29]	138			time0[29]	145			time0[29]	123			time0[29]	145			time0[29]	134			time0[29]	148			time0[29]	132			time0[29]	131			time0[29]	137			time0[29]	146	
								time0[30]	139			time0[30]	138			time0[30]	130			time0[30]	145			time0[30]	135			time0[30]	146			time0[30]	131			time0[30]	124			time0[30]	137			time0[30]	145	
								time0[31]	139			time0[31]	144			time0[31]	131			time0[31]	146			time0[31]	142			time0[31]	147			time0[31]	137			time0[31]	118			time0[31]	132			time0[31]	145	
								time0[32]	139			time0[32]	138			time0[32]	131			time0[32]	146			time0[32]	141			time0[32]	154			time0[32]	136			time0[32]	138			time0[32]	132			time0[32]	139	
								time0[33]	139			time0[33]	145			time0[33]	130			time0[33]	152			time0[33]	142			time0[33]	154			time0[33]	136			time0[33]	124			time0[33]	132			time0[33]	138	
